1
0
10000
2
0
40
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2
0,1

213 287
272 228
296 204
204 296
228 272
215 285
258 242
226 274
269 231
279 221
216 284
241 259
251 249
242 258
286 214
249 251
263 237
266 234
244 256
225 275
285 215
214 286
247 253
268 232
258 242
233 267
267 233
288 212
229 271
208 292
287 213
244 256
310 190
224 276
275 225
242 258
236 264
244 256
296 204
264 236

219 281
273 227
294 206
211 289
245 255
230 270
276 224
238 262
265 235
256 244
231 269
262 238
241 259
261 239
282 218
242 258
260 240
274 226
254 246
215 285
268 232
233 267
250 250
287 213
233 267
235 265
252 248
271 229
246 254
215 285
277 223
269 231
288 212
243 257
257 243
249 251
249 251
244 256
284 216
257 243


261 239
277 223
268 232
216 284
276 224
278 222
248 252
246 254
255 245
225 275
245 255
248 252
243 257
269 231
262 238
235 265
233 267
237 263
269 231
245 255
246 254
243 257
224 276
265 235
262 238
260 240
277 223
257 243
239 261
233 267
250 250
261 239
253 247
229 271
236 264
240 260
221 279
230 270
247 253
249 251

1


